AccessionNumber,ClusterSize,Length,ClusterRepresentative
AOX47681,11,891,AOX47681
AOX47676,11,891,AOX47681
AOX47671,11,891,AOX47681
AOX47666,11,891,AOX47681
AOX47661,11,891,AOX47681
AOX47656,11,891,AOX47681
AOX47651,11,891,AOX47681
AOX47641,11,891,AOX47681
YP_009315891,11,685,AOX47681
AOX47686,11,685,AOX47681
AOX47646,11,660,AOX47681
ABC69727,6,860,ABC69727
P07296,6,726,ABC69727
NP_041402,6,726,ABC69727
AAB59845,6,726,ABC69727
ABC69730,6,577,ABC69727
YP_009259490,3,857,YP_009259490
ANN02911,3,857,YP_009259490
ANN02909,3,857,YP_009259490
ASM93495,1,854,ASM93495
YP_009389289,4,825,YP_009389289
ASC49399,4,825,YP_009389289
ASC49387,4,825,YP_009389289
ASC49366,4,825,YP_009389289
ASC49417,15,825,ASC49417
ASC49414,15,825,ASC49417
ASC49411,15,825,ASC49417
ASC49408,15,825,ASC49417
ASC49405,15,825,ASC49417
ASC49402,15,825,ASC49417
ASC49396,15,825,ASC49417
ASC49393,15,825,ASC49417
ASC49390,15,825,ASC49417
ASC49384,15,825,ASC49417
ASC49381,15,825,ASC49417
ASC49378,15,825,ASC49417
ASC49375,15,825,ASC49417
ASC49372,15,825,ASC49417
ASC49369,15,825,ASC49417
AHK26969,16,814,AHK26969
AHK26993,16,687,AHK26969
AEZ53133,16,685,AHK26969
AIY27462,16,670,AHK26969
AHK27011,16,670,AHK26969
AHK26981,16,656,AHK26969
AHK26963,16,650,AHK26969
AHK27134,16,444,AHK26969
AHK27014,16,418,AHK26969
AHK27133,16,415,AHK26969
AHK27192,16,390,AHK26969
AHK27170,16,390,AHK26969
AHK27160,16,390,AHK26969
AHK27140,16,390,AHK26969
AHK27137,16,390,AHK26969
AHK27132,16,384,AHK26969
YP_009272913,2,811,YP_009272913
AOF39988,2,811,YP_009272913
APV46193,8,804,AFH96872
AKI88073,8,804,AFH96872
AII82254,8,804,AFH96872
YP_006272944,8,804,AFH96872
AFH96880,8,804,AFH96872
AFH96876,8,804,AFH96872
AFH96872,8,804,AFH96872
YP_003799996,6,804,ADK34009
ADK34009,6,804,ADK34009
AER93217,6,639,ADK34009
ACG75864,6,639,ADK34009
ASS83769,6,494,ADK34009
AGS15053,1,803,AGS15053
AEM37606,2,802,AEM37606
AGL09957,2,801,AGL09957
AIF74217,2,713,AGL09957
AEF33722,66,800,AEO37417
AGS15093,66,800,AEO37417
AHK26999,66,684,AEO37417
AOZ60497,66,667,AEO37417
AMH38320,66,667,AEO37417
AHK26978,66,667,AEO37417
AHK26972,66,667,AEO37417
AGS15069,66,667,AEO37417
AGS15057,66,667,AEO37417
AGJ52191,66,667,AEO37417
YP_004869645,66,667,AEO37417
YP_004869641,66,667,AEO37417
AEO37425,66,667,AEO37417
AEO37421,66,667,AEO37417
AEO37417,66,667,AEO37417
AHK26984,66,651,AEO37417
AHK26990,66,620,AEO37417
AOZ60491,66,599,AEO37417
AER30010,66,599,AEO37417
AOZ60494,66,584,AEO37417
AER30014,66,584,AEO37417
AHK27129,66,404,AEO37417
AHK27187,66,390,AEO37417
AHK27186,66,390,AEO37417
AHK27185,66,390,AEO37417
AHK27184,66,390,AEO37417
AHK27182,66,390,AEO37417
AHK27181,66,390,AEO37417
AHK27180,66,390,AEO37417
AHK27179,66,390,AEO37417
AHK27178,66,390,AEO37417
AHK27177,66,390,AEO37417
AHK27176,66,390,AEO37417
AHK27175,66,390,AEO37417
AHK27173,66,390,AEO37417
AHK27172,66,390,AEO37417
AHK27171,66,390,AEO37417
AHK27169,66,390,AEO37417
AHK27168,66,390,AEO37417
AHK27165,66,390,AEO37417
AHK27164,66,390,AEO37417
AHK27163,66,390,AEO37417
AHK27162,66,390,AEO37417
AHK27159,66,390,AEO37417
AHK27158,66,390,AEO37417
AHK27157,66,390,AEO37417
AHK27156,66,390,AEO37417
AHK27155,66,390,AEO37417
AHK27154,66,390,AEO37417
AHK27152,66,390,AEO37417
AHK27151,66,390,AEO37417
AHK27150,66,390,AEO37417
AHK27148,66,390,AEO37417
AHK27147,66,390,AEO37417
AHK27146,66,390,AEO37417
AHK27145,66,390,AEO37417
AHK27144,66,390,AEO37417
AHK27142,66,390,AEO37417
AHK27141,66,390,AEO37417
AHK27139,66,390,AEO37417
AHK27138,66,390,AEO37417
AHK27136,66,390,AEO37417
AHK27135,66,390,AEO37417
AHK27131,66,378,AEO37417
AHK27153,66,371,AEO37417
BAU88511,6,797,AGZ93685
BAU88510,6,797,AGZ93685
YP_008802580,6,797,AGZ93685
AGZ93685,6,797,AGZ93685
BAU88512,6,796,AGZ93685
AII82250,1,796,AII82250
ASC49322,14,795,ASC49322
ASC49362,14,701,ASC49322
ASC49358,14,701,ASC49322
ASC49354,14,701,ASC49322
ASC49350,14,701,ASC49322
ASC49346,14,701,ASC49322
ASC49338,14,701,ASC49322
ASC49326,14,701,ASC49322
ASC49318,14,701,ASC49322
ASC49314,14,701,ASC49322
ASC49294,14,701,ASC49322
ASC49286,14,701,ASC49322
ASC49342,14,697,ASC49322
ASC49302,14,697,ASC49322
ARJ58621,17,793,AES86015
AKG54784,17,793,AES86015
AKG54762,17,793,AES86015
AKG54757,17,674,AES86015
AIK02195,17,669,AES86015
AKG54796,17,667,AES86015
AKG54779,17,667,AES86015
AKG54767,17,667,AES86015
AKG54790,17,663,AES86015
AKG54773,17,648,AES86015
YP_007518454,17,648,AES86015
AES86015,17,648,AES86015
AFH96896,17,648,AES86015
AFH96890,17,648,AES86015
AFH96884,17,648,AES86015
AFH96902,17,644,AES86015
AEM37597,6,793,AEM37593
AEM37610,6,793,AEM37593
AEM37601,6,793,AEM37593
AEM37593,6,793,AEM37593
AEM37589,6,793,AEM37593
YP_009229908,2,789,YP_009229908
AMD43872,2,789,YP_009229908
AFR53039,202,781,AAY45700
AFC37600,202,781,AAY45700
ACX50492,202,781,AAY45700
ARS03587,202,639,AAY45700
AND46439,202,639,AAY45700
AND46435,202,639,AAY45700
AND46431,202,639,AAY45700
BAH22699,202,639,AAY45700
BAH22695,202,639,AAY45700
BAH22691,202,639,AAY45700
